sentiment_State,Average_polarity,Average_subjectivity
AK,9.92478637409202e-02,0.356576056078856
AL,0.119633197763698,0.348612454109543
AR,7.76243778409192e-02,0.357026058702897
AZ,8.90696008636511e-02,0.361469845346182
CA,8.06227674251577e-02,0.357562991485753
CO,8.74801451761243e-02,0.371959911036542
CT,8.82322473772478e-02,0.369366156976977
DC,8.73546473872721e-02,0.372207593074023
DE,9.29267589392996e-02,0.360567659164804
FL,8.31125142259393e-02,0.350431603898175
GA,8.05084460539329e-02,0.335866882078868
HI,8.24253532940158e-02,0.35764021896673
IA,7.35523296562811e-02,0.367044877335643
ID,7.82472905607856e-02,0.377942219230847
IL,9.74316008889232e-02,0.361978338471859
IN,7.74885217584051e-02,0.358894617359625
KS,7.42906841153817e-02,0.368859566174679
KY,8.17354204377539e-02,0.371064302458442
LA,0.100917675920331,0.376634784972426
MA,9.56943854466495e-02,0.368351650604053
MD,0.103587475783398,0.365354792620458
ME,7.68898675928095e-02,0.37493555967633
MI,0.10664101480333,0.371061413950319
MN,7.56258493032141e-02,0.365771934063374
MO,0.106336139820055,0.375942416617681
MS,8.37648729898717e-02,0.349643300329421
MT,5.05101795815654e-02,0.35583338828118
NC,9.66435187499586e-02,0.365391648643495
ND,0.132279225620346,0.418495709760761
NE,9.02287716271364e-02,0.348068598904498
NH,5.68619836523522e-02,0.288578200643998
NJ,0.10066881488066,0.387202761623332
NM,7.57274380276051e-02,0.373014042285127
NV,8.27931270979596e-02,0.347543669678479
NY,9.02761384789667e-02,0.375018253719617
OH,8.22059636665822e-02,0.348222517882418
OK,0.07440250919776,0.369371342659652
OR,9.42822880552222e-02,0.35827076817791
PA,8.94212731760476e-02,0.36671443017452
PC,0.5,0.600000023841858
RI,8.94589502507947e-02,0.382703043327884
SC,7.88417831754557e-02,0.348040707917376
SD,9.81342794193822e-02,0.354189290674311
TN,9.15686474543808e-02,0.360605951828923
TX,9.24528566648957e-02,0.357350327686343
UT,0.116674793211609,0.380884311793763
VA,9.18536703468972e-02,0.362915953423309
VT,0.117497670859245,0.300142760712946
WA,9.50128867158277e-02,0.379563178226549
WI,8.04219360829521e-02,0.354676622790691
WV,7.5130828557573e-02,0.347339603050754
WY,4.12900432478637e-02,0.296443191822618
oh,0.387499988079071,0.550000011920929
